,state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,renew_offer_type,sales_channel,vehicle_class,vehicle_size,Month,Day,Week
542,Other,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Offer1,Branch,SUV,Medsize,2,11,6
543,Arizona,No,Extended,College,Unemployed,M,Suburban,Divorced,Personal Auto,Offer1,Call Center,SUV,Medsize,1,13,2
544,California,No,Premium,High School or Below,Employed,M,Suburban,Married,Special Auto,Offer1,Agent,Four-Door Car,Small,2,25,8
545,Oregon,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Small,2,6,5
546,Other,Yes,Basic,College,Employed,M,Urban,Married,Personal Auto,Offer1,Agent,SUV,Medsize,2,5,5
547,Arizona,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Offer2,Web,Four-Door Car,Medsize,1,19,3
548,Arizona,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Offer4,Agent,Four-Door Car,Small,1,25,4
549,California,No,Basic,Bachelor,Employed,F,Suburban,Married,Corporate Auto,Offer3,Agent,Four-Door Car,Medsize,1,17,3
550,Oregon,No,Basic,College,Employed,F,Suburban,Married,Personal Auto,Offer4,Web,SUV,Medsize,2,27,8
551,Oregon,Yes,Extended,College,Employed,F,Suburban,Married,Corporate Auto,Offer1,Branch,SUV,Medsize,2,14,7
552,Oregon,Yes,Basic,Master/Doctor,Employed,F,Suburban,Single,Personal Auto,Offer2,Branch,SUV,Large,1,17,3
553,Oregon,No,Basic,College,Employed,F,Rural,Divorced,Personal Auto,Offer3,Web,SUV,Medsize,2,15,7
554,California,No,Extended,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Offer1,Branch,Two-Door Car,Medsize,1,19,3
555,Arizona,No,Basic,High School or Below,Other,M,Suburban,Married,Personal Auto,Offer1,Agent,Two-Door Car,Medsize,2,7,6
556,California,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer1,Branch,Four-Door Car,Medsize,1,27,4
557,California,No,Extended,High School or Below,Other,M,Suburban,Married,Corporate Auto,Offer1,Branch,Four-Door Car,Medsize,1,9,1
558,California,No,Basic,Master/Doctor,Employed,F,Rural,Married,Corporate Auto,Offer1,Branch,SUV,Small,2,8,6
559,Arizona,No,Premium,College,Unemployed,F,Suburban,Married,Personal Auto,Offer1,Branch,Sports Car,Small,2,6,5
560,California,No,Basic,Bachelor,Employed,M,Suburban,Single,Corporate Auto,Offer2,Agent,SUV,Small,1,5,1
561,Other,No,Basic,College,Unemployed,F,Suburban,Married,Corporate Auto,Offer3,Agent,Four-Door Car,Medsize,1,1,52
562,Oregon,No,Premium,Bachelor,Employed,F,Rural,Divorced,Personal Auto,Offer2,Agent,SUV,Small,2,28,9
563,Other,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Offer4,Branch,Four-Door Car,Medsize,2,9,6
564,California,No,Extended,Master/Doctor,Employed,M,Rural,Divorced,Personal Auto,Offer1,Branch,Four-Door Car,Medsize,1,27,4
565,California,No,Basic,College,Unemployed,F,Suburban,Married,Corporate Auto,Offer4,Call Center,Sports Car,Medsize,1,6,1
566,California,Yes,Premium,College,Employed,M,Suburban,Single,Personal Auto,Offer2,Branch,Sports Car,Medsize,1,19,3
567,California,No,Premium,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Offer3,Call Center,SUV,Medsize,1,15,2
568,Oregon,Yes,Basic,Bachelor,Employed,F,Urban,Married,Corporate Auto,Offer2,Branch,SUV,Medsize,1,14,2
569,Oregon,No,Basic,Bachelor,Employed,M,Rural,Married,Personal Auto,Offer2,Branch,Two-Door Car,Medsize,2,12,6
570,California,Yes,Basic,College,Other,M,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,1,23,3
571,Oregon,No,Basic,College,Employed,F,Suburban,Married,Personal Auto,Offer1,Branch,Two-Door Car,Small,1,21,3
572,Oregon,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Special Auto,Offer3,Web,Two-Door Car,Small,1,24,4
573,California,No,Basic,Bachelor,Employed,M,Rural,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,2,25,8
574,Arizona,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Offer2,Branch,Four-Door Car,Small,1,3,1
575,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Offer2,Agent,Two-Door Car,Medsize,2,1,5
576,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Divorced,Personal Auto,Offer1,Call Center,Sports Car,Small,2,4,5
577,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Offer2,Agent,Two-Door Car,Small,1,22,3
578,Oregon,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer4,Web,Four-Door Car,Small,2,19,7
579,Other,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Offer1,Agent,SUV,Medsize,1,14,2
580,Oregon,No,Basic,Master/Doctor,Employed,F,Urban,Married,Personal Auto,Offer2,Call Center,Four-Door Car,Small,2,10,6
581,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Offer1,Branch,Luxury Car,Small,2,22,8
582,Other,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Offer3,Branch,Four-Door Car,Medsize,1,5,1
583,California,No,Extended,High School or Below,Employed,F,Rural,Married,Personal Auto,Offer1,Agent,Four-Door Car,Large,2,27,8
584,Other,Yes,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Offer2,Web,Sports Car,Medsize,1,24,4
585,California,Yes,Basic,Bachelor,Employed,M,Suburban,Divorced,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,1,13,2
586,Oregon,No,Basic,Bachelor,Other,M,Suburban,Divorced,Personal Auto,Offer2,Web,SUV,Medsize,1,3,1
587,California,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Offer3,Call Center,Four-Door Car,Medsize,2,17,7
588,California,Yes,Basic,Bachelor,Other,M,Suburban,Divorced,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,1,2,52
589,Other,No,Extended,High School or Below,Employed,M,Urban,Divorced,Personal Auto,Offer1,Agent,Sports Car,Medsize,2,25,8
590,Arizona,No,Basic,Master/Doctor,Unemployed,F,Suburban,Divorced,Personal Auto,Offer1,Agent,SUV,Medsize,2,21,8
591,California,Yes,Extended,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Large,2,24,8
592,California,No,Basic,Master/Doctor,Employed,F,Rural,Single,Special Auto,Offer2,Branch,Two-Door Car,Medsize,2,27,8
593,Oregon,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Offer3,Call Center,SUV,Large,2,10,6
594,Other,No,Premium,High School or Below,Unemployed,F,Suburban,Married,Special Auto,Offer1,Web,Four-Door Car,Large,2,2,5
595,Other,Yes,Basic,Master/Doctor,Employed,M,Rural,Divorced,Personal Auto,Offer1,Agent,Four-Door Car,Large,1,29,4
596,Oregon,No,Basic,College,Employed,F,Urban,Married,Personal Auto,Offer2,Agent,Four-Door Car,Medsize,1,29,4
597,Arizona,Yes,Basic,College,Employed,F,Rural,Married,Personal Auto,Offer1,Agent,SUV,Medsize,2,26,8
598,Oregon,No,Premium,College,Unemployed,M,Suburban,Divorced,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,1,8,1
599,Arizona,No,Basic,Master/Doctor,Employed,F,Rural,Divorced,Personal Auto,Offer3,Call Center,Four-Door Car,Medsize,2,5,5
600,Oregon,No,Basic,Bachelor,Employed,M,Rural,Divorced,Corporate Auto,Offer1,Agent,Four-Door Car,Large,2,13,6
601,Oregon,No,Basic,College,Employed,F,Rural,Married,Personal Auto,Offer1,Call Center,Two-Door Car,Small,2,25,8
602,California,No,Basic,Bachelor,Employed,M,Urban,Married,Personal Auto,Offer3,Branch,Four-Door Car,Medsize,2,5,5
603,Oregon,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Corporate Auto,Offer4,Web,SUV,Medsize,2,14,7
604,Oregon,No,Basic,Master/Doctor,Employed,F,Suburban,Married,Personal Auto,Offer3,Call Center,Two-Door Car,Small,1,23,3
605,California,Yes,Basic,College,Other,M,Suburban,Married,Corporate Auto,Offer2,Agent,Two-Door Car,Medsize,1,1,52
606,Other,No,Premium,High School or Below,Unemployed,M,Suburban,Single,Corporate Auto,Offer1,Agent,Four-Door Car,Large,2,20,7
607,California,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Offer1,Agent,SUV,Medsize,1,29,4
608,Other,Yes,Basic,High School or Below,Other,M,Suburban,Single,Personal Auto,Offer1,Call Center,SUV,Medsize,2,20,7
609,California,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer1,Call Center,SUV,Medsize,2,7,6
610,Oregon,No,Basic,Master/Doctor,Employed,M,Suburban,Divorced,Special Auto,Offer1,Web,Four-Door Car,Medsize,2,22,8
611,Oregon,No,Basic,Master/Doctor,Employed,F,Rural,Married,Personal Auto,Offer4,Agent,Sports Car,Small,1,2,52
612,Arizona,No,Extended,Bachelor,Employed,M,Rural,Married,Special Auto,Offer2,Web,Four-Door Car,Medsize,1,5,1
613,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Offer3,Call Center,Four-Door Car,Medsize,1,7,1
614,California,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer2,Call Center,Four-Door Car,Small,1,2,52
615,Other,No,Premium,Master/Doctor,Employed,M,Urban,Married,Corporate Auto,Offer2,Call Center,Four-Door Car,Small,1,17,3
616,Oregon,Yes,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer2,Branch,SUV,Small,1,21,3
617,Other,No,Premium,Master/Doctor,Employed,F,Urban,Married,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize,2,22,8
618,California,No,Basic,College,Employed,F,Suburban,Married,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize,2,4,5
619,Other,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Web,Four-Door Car,Medsize,2,7,6
620,Oregon,Yes,Basic,College,Employed,F,Urban,Married,Personal Auto,Offer2,Agent,Four-Door Car,Medsize,1,20,3
621,Other,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Offer2,Branch,Four-Door Car,Large,2,22,8
622,California,No,Basic,College,Employed,F,Urban,Married,Personal Auto,Offer2,Call Center,Two-Door Car,Medsize,1,1,52
623,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer2,Web,Two-Door Car,Large,2,14,7
624,Arizona,No,Extended,High School or Below,Employed,F,Rural,Married,Personal Auto,Offer3,Agent,Four-Door Car,Medsize,1,28,4
625,California,No,Extended,Bachelor,Unemployed,F,Suburban,Married,Personal Auto,Offer2,Web,Four-Door Car,Small,1,22,3
626,California,No,Extended,College,Employed,F,Rural,Single,Personal Auto,Offer4,Web,Sports Car,Medsize,1,30,4
627,Other,No,Extended,High School or Below,Employed,M,Suburban,Single,Personal Auto,Offer1,Branch,Two-Door Car,Small,1,18,3
628,Arizona,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,Two-Door Car,Medsize,2,22,8
629,Oregon,No,Basic,College,Other,F,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,1,3,1
630,California,No,Basic,Bachelor,Unemployed,M,Urban,Married,Personal Auto,Offer1,Branch,Four-Door Car,Medsize,1,10,2
631,California,Yes,Basic,College,Employed,M,Rural,Married,Personal Auto,Offer1,Branch,Four-Door Car,Medsize,1,28,4
632,Oregon,Yes,Extended,High School or Below,Employed,M,Rural,Divorced,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize,2,20,7
633,California,Yes,Premium,Bachelor,Other,F,Suburban,Married,Personal Auto,Offer1,Agent,Luxury SUV,Medsize,1,5,1
634,California,No,Basic,College,Employed,F,Rural,Married,Corporate Auto,Offer4,Branch,Four-Door Car,Large,2,28,9
635,Oregon,No,Basic,College,Employed,M,Rural,Married,Special Auto,Offer2,Branch,SUV,Medsize,2,18,7
636,Other,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Offer2,Call Center,Luxury Car,Large,1,7,1
637,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Offer2,Branch,Four-Door Car,Small,2,4,5
638,California,No,Basic,College,Other,M,Suburban,Married,Personal Auto,Offer4,Call Center,Two-Door Car,Medsize,2,24,8
639,California,No,Extended,College,Employed,F,Suburban,Married,Special Auto,Offer2,Branch,Four-Door Car,Small,2,26,8
640,Other,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,2,13,6
641,Arizona,No,Basic,Master/Doctor,Employed,M,Suburban,Married,Personal Auto,Offer4,Branch,Four-Door Car,Small,2,13,6
642,Arizona,Yes,Premium,High School or Below,Employed,M,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,2,27,8
643,California,No,Basic,Master/Doctor,Employed,F,Urban,Divorced,Personal Auto,Offer3,Web,Two-Door Car,Medsize,2,6,5
644,Other,No,Basic,High School or Below,Employed,M,Urban,Divorced,Personal Auto,Offer1,Call Center,Four-Door Car,Medsize,1,29,4
645,Other,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Corporate Auto,Offer2,Call Center,SUV,Medsize,1,19,3
646,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Divorced,Corporate Auto,Offer1,Call Center,SUV,Medsize,1,3,1
647,Oregon,No,Extended,College,Employed,F,Rural,Married,Personal Auto,Offer2,Branch,Two-Door Car,Medsize,1,16,2
648,Oregon,No,Premium,Bachelor,Employed,M,Suburban,Married,Corporate Auto,Offer1,Branch,Four-Door Car,Medsize,2,27,8
649,Oregon,No,Extended,College,Unemployed,M,Suburban,Single,Personal Auto,Offer2,Web,SUV,Small,1,24,4
650,Oregon,No,Basic,Bachelor,Employed,M,Rural,Single,Personal Auto,Offer3,Branch,SUV,Medsize,2,22,8
651,Arizona,No,Basic,Bachelor,Employed,F,Urban,Divorced,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,1,9,1
652,Oregon,Yes,Extended,Bachelor,Unemployed,F,Suburban,Divorced,Personal Auto,Offer1,Call Center,Two-Door Car,Large,1,27,4
653,Oregon,No,Extended,Bachelor,Employed,F,Rural,Married,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize,1,6,1
654,Other,No,Extended,College,Unemployed,F,Suburban,Married,Personal Auto,Offer1,Branch,Four-Door Car,Small,2,28,9
655,Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Offer2,Call Center,Two-Door Car,Medsize,1,9,1
656,Other,No,Premium,Master/Doctor,Other,F,Urban,Married,Personal Auto,Offer2,Call Center,Two-Door Car,Medsize,2,9,6
657,Other,No,Extended,College,Employed,F,Rural,Married,Personal Auto,Offer1,Branch,SUV,Medsize,1,16,2
658,Oregon,No,Extended,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer2,Call Center,Two-Door Car,Medsize,1,14,2
659,Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Corporate Auto,Offer1,Branch,Two-Door Car,Medsize,2,26,8
660,California,Yes,Basic,Master/Doctor,Employed,M,Rural,Divorced,Special Auto,Offer2,Branch,Four-Door Car,Small,1,31,5
661,Other,No,Basic,College,Employed,F,Urban,Married,Personal Auto,Offer2,Agent,Four-Door Car,Medsize,1,24,4
662,California,Yes,Extended,High School or Below,Other,F,Suburban,Married,Corporate Auto,Offer2,Agent,Four-Door Car,Large,1,20,3
663,California,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Offer1,Branch,Four-Door Car,Medsize,1,1,52
664,Arizona,No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Offer2,Agent,SUV,Small,1,8,1
665,California,No,Basic,College,Employed,F,Suburban,Married,Corporate Auto,Offer2,Agent,Four-Door Car,Medsize,2,3,5
666,Oregon,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Offer3,Agent,Two-Door Car,Medsize,1,2,52
667,Oregon,No,Basic,Bachelor,Employed,M,Urban,Married,Personal Auto,Offer2,Web,Two-Door Car,Medsize,1,6,1
668,Arizona,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Agent,SUV,Medsize,1,15,2
669,California,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Offer3,Branch,Four-Door Car,Small,1,29,4
670,California,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer2,Web,Four-Door Car,Medsize,2,14,7
671,Oregon,No,Basic,College,Employed,F,Urban,Married,Personal Auto,Offer1,Agent,SUV,Medsize,1,2,52
672,California,No,Extended,High School or Below,Employed,F,Suburban,Married,Personal Auto,Offer1,Branch,Two-Door Car,Medsize,1,2,52
673,Arizona,No,Premium,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer3,Branch,Four-Door Car,Small,2,22,8
674,Oregon,No,Basic,College,Unemployed,M,Rural,Married,Corporate Auto,Offer2,Agent,Four-Door Car,Medsize,1,15,2
675,Arizona,No,Basic,College,Unemployed,F,Suburban,Divorced,Corporate Auto,Offer1,Agent,Four-Door Car,Small,2,14,7
676,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,2,18,7
677,Oregon,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer2,Branch,Four-Door Car,Medsize,1,12,2
678,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Divorced,Personal Auto,Offer2,Call Center,Four-Door Car,Medsize,1,16,2
679,Other,No,Extended,Bachelor,Employed,M,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,1,23,3
680,Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer2,Branch,Two-Door Car,Medsize,1,7,1
681,Arizona,No,Extended,Master/Doctor,Employed,M,Urban,Single,Personal Auto,Offer2,Branch,SUV,Medsize,1,4,1
682,Oregon,No,Extended,Master/Doctor,Employed,F,Rural,Married,Personal Auto,Offer1,Agent,SUV,Medsize,1,3,1
683,California,Yes,Basic,High School or Below,Other,F,Suburban,Married,Corporate Auto,Offer2,Call Center,SUV,Medsize,1,19,3
684,Oregon,No,Basic,Bachelor,Employed,M,Rural,Married,Special Auto,Offer3,Agent,Four-Door Car,Medsize,1,28,4
685,Oregon,No,Premium,High School or Below,Employed,F,Suburban,Divorced,Personal Auto,Offer1,Agent,Two-Door Car,Medsize,1,24,4
686,California,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer2,Agent,Four-Door Car,Medsize,1,8,1
687,Arizona,No,Extended,College,Employed,F,Suburban,Married,Personal Auto,Offer2,Web,Four-Door Car,Small,2,23,8
688,Oregon,No,Basic,Bachelor,Employed,M,Rural,Married,Personal Auto,Offer4,Web,Two-Door Car,Large,1,16,2
689,Oregon,No,Extended,Bachelor,Employed,F,Urban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,1,23,3
690,Arizona,No,Basic,Master/Doctor,Employed,F,Rural,Married,Personal Auto,Offer4,Web,Two-Door Car,Medsize,1,31,5
691,Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,1,16,2
692,Oregon,Yes,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Offer2,Agent,Four-Door Car,Medsize,2,14,7
693,Other,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Offer4,Branch,Four-Door Car,Medsize,1,12,2
694,California,Yes,Premium,Bachelor,Employed,F,Suburban,Single,Personal Auto,Offer1,Branch,Two-Door Car,Medsize,1,28,4
695,Oregon,Yes,Premium,High School or Below,Employed,M,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,2,27,8
696,Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Corporate Auto,Offer2,Web,Four-Door Car,Medsize,1,2,52
697,Other,No,Extended,College,Unemployed,M,Suburban,Single,Personal Auto,Offer3,Agent,Two-Door Car,Medsize,1,2,52
698,Arizona,Yes,Extended,Bachelor,Employed,F,Urban,Divorced,Corporate Auto,Offer2,Web,Four-Door Car,Medsize,1,20,3
699,Other,No,Basic,Master/Doctor,Employed,M,Rural,Married,Personal Auto,Offer2,Agent,SUV,Medsize,1,29,4
700,Oregon,No,Extended,College,Employed,F,Rural,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,1,11,2
701,Arizona,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Offer2,Web,Two-Door Car,Medsize,1,9,1
702,California,Yes,Basic,College,Unemployed,F,Suburban,Divorced,Personal Auto,Offer1,Branch,Four-Door Car,Small,2,22,8
703,California,No,Basic,College,Employed,M,Rural,Divorced,Corporate Auto,Offer2,Web,Four-Door Car,Large,1,15,2
704,Other,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer1,Agent,Sports Car,Large,2,12,6
705,California,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Offer3,Agent,SUV,Large,1,21,3
706,California,No,Basic,High School or Below,Employed,M,Urban,Married,Personal Auto,Offer3,Call Center,SUV,Medsize,2,27,8
707,Oregon,No,Extended,High School or Below,Employed,F,Urban,Married,Personal Auto,Offer4,Agent,Two-Door Car,Medsize,2,4,5
708,California,No,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,Offer2,Agent,SUV,Medsize,1,17,3
709,Oregon,No,Premium,Bachelor,Employed,M,Suburban,Married,Personal Auto,Offer2,Branch,Four-Door Car,Medsize,1,10,2
710,California,No,Basic,College,Other,F,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,2,19,7
711,Oregon,Yes,Basic,Bachelor,Unemployed,M,Suburban,Married,Personal Auto,Offer2,Agent,Two-Door Car,Medsize,1,3,1
712,Arizona,No,Basic,Bachelor,Employed,M,Urban,Divorced,Personal Auto,Offer3,Branch,SUV,Medsize,1,26,4
713,California,No,Premium,Bachelor,Unemployed,M,Suburban,Single,Corporate Auto,Offer4,Web,SUV,Medsize,2,28,9
714,Other,No,Extended,Bachelor,Unemployed,M,Suburban,Married,Personal Auto,Offer2,Branch,SUV,Small,1,13,2
715,Arizona,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer3,Web,Sports Car,Medsize,1,31,5
716,Oregon,No,Basic,College,Employed,F,Rural,Married,Corporate Auto,Offer4,Agent,Four-Door Car,Medsize,2,16,7
717,California,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Offer2,Agent,Four-Door Car,Medsize,1,8,1
718,Arizona,No,Extended,High School or Below,Employed,F,Suburban,Married,Corporate Auto,Offer3,Branch,Sports Car,Medsize,2,3,5
719,Other,No,Extended,High School or Below,Employed,F,Rural,Married,Corporate Auto,Offer4,Agent,Sports Car,Medsize,2,11,6
720,California,No,Extended,College,Employed,M,Suburban,Divorced,Special Auto,Offer1,Branch,SUV,Medsize,1,10,2
721,California,No,Basic,Bachelor,Other,M,Rural,Married,Personal Auto,Offer3,Agent,Two-Door Car,Medsize,2,23,8
722,California,No,Premium,College,Employed,M,Suburban,Single,Personal Auto,Offer1,Branch,Four-Door Car,Small,1,10,2
723,California,Yes,Basic,Bachelor,Other,M,Suburban,Divorced,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,1,26,4
724,Oregon,No,Basic,College,Employed,M,Suburban,Single,Corporate Auto,Offer2,Web,Four-Door Car,Medsize,2,6,5
725,Arizona,No,Basic,Bachelor,Other,M,Suburban,Married,Personal Auto,Offer2,Agent,Four-Door Car,Medsize,1,20,3
726,Arizona,Yes,Basic,High School or Below,Other,F,Suburban,Single,Personal Auto,Offer1,Web,Two-Door Car,Small,2,3,5
727,Oregon,No,Basic,College,Employed,F,Rural,Married,Corporate Auto,Offer1,Call Center,SUV,Medsize,2,13,6
728,California,No,Basic,High School or Below,Employed,M,Rural,Single,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize,1,17,3
729,California,No,Extended,College,Employed,M,Suburban,Married,Corporate Auto,Offer4,Branch,Four-Door Car,Small,2,9,6
730,Other,No,Extended,Master/Doctor,Employed,M,Rural,Married,Personal Auto,Offer1,Agent,SUV,Small,1,2,52
731,Other,No,Extended,Bachelor,Employed,M,Rural,Divorced,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,2,26,8
732,Arizona,No,Basic,Bachelor,Employed,M,Rural,Married,Personal Auto,Offer1,Agent,SUV,Medsize,2,13,6
733,Other,No,Extended,Bachelor,Unemployed,M,Suburban,Divorced,Corporate Auto,Offer1,Branch,Two-Door Car,Large,2,22,8
734,Arizona,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Offer3,Call Center,Four-Door Car,Medsize,2,26,8
735,Arizona,No,Extended,High School or Below,Employed,F,Rural,Married,Personal Auto,Offer4,Call Center,Four-Door Car,Medsize,2,12,6
736,California,Yes,Basic,Bachelor,Employed,M,Rural,Married,Personal Auto,Offer2,Agent,SUV,Medsize,1,21,3
737,Arizona,No,Basic,Bachelor,Employed,M,Suburban,Divorced,Personal Auto,Offer3,Branch,Sports Car,Large,2,5,5
738,Oregon,No,Extended,Bachelor,Employed,F,Suburban,Divorced,Personal Auto,Offer1,Call Center,Two-Door Car,Small,2,18,7
739,California,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Call Center,Four-Door Car,Medsize,1,17,3
740,Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer3,Agent,Four-Door Car,Medsize,2,13,6
741,Other,No,Extended,College,Unemployed,F,Rural,Married,Personal Auto,Offer3,Branch,SUV,Medsize,2,3,5
742,Oregon,No,Basic,Master/Doctor,Unemployed,M,Suburban,Married,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize,1,1,52
743,California,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Offer2,Branch,SUV,Medsize,2,19,7
744,Other,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Offer3,Web,Four-Door Car,Medsize,2,25,8
745,Oregon,No,Extended,High School or Below,Employed,F,Urban,Married,Personal Auto,Offer3,Agent,Four-Door Car,Medsize,2,19,7
746,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer3,Web,Two-Door Car,Medsize,2,16,7
747,Other,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Offer2,Branch,Four-Door Car,Small,2,13,6
748,Other,Yes,Basic,Master/Doctor,Employed,F,Rural,Married,Personal Auto,Offer2,Web,Four-Door Car,Large,1,3,1
749,Oregon,No,Basic,College,Employed,F,Suburban,Married,Special Auto,Offer2,Agent,SUV,Medsize,2,19,7
750,California,No,Extended,College,Other,M,Suburban,Divorced,Personal Auto,Offer4,Web,Four-Door Car,Medsize,1,22,3
751,Other,No,Premium,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Offer3,Branch,Two-Door Car,Medsize,1,23,3
752,Arizona,No,Basic,College,Employed,F,Rural,Divorced,Personal Auto,Offer1,Branch,Sports Car,Medsize,2,12,6
753,California,Yes,Basic,College,Other,F,Suburban,Married,Special Auto,Offer2,Call Center,Four-Door Car,Medsize,2,2,5
754,California,No,Extended,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer4,Branch,Four-Door Car,Medsize,2,24,8
755,California,Yes,Premium,Bachelor,Other,F,Suburban,Married,Personal Auto,Offer1,Agent,Luxury SUV,Medsize,1,5,1
